,p,a
0,Transporta koordinators/-e,2000
1,Transporta koordinators/-e - dispečeris/-e,1850
2,Biznesa attīstības/Eskporta menedžeris/-e,2113
3,Eksporta menedžeris/-e,2100
4,Loģistikas speciālists/-e,2100
5,Biroja administrators/-e,1550
6,Pārdošanas speciālists/-e,1750
7,Deputy CTO,6750
8,Personāla speciālists/-e,1800
9,Būvinženieris/-e,3000
10,Pārdošanas menedžeris/-e,2743
11,Asistents/-e kravu pārvadājumu organizēšanā,1850
12,Production Data Analyst,2200
13,Grāmatvedis/-e ar SAP zināšanām,2300
14,Pārdevēji/-as pārtikas veikalā (darbam Olainē),1100
15,Pārtikas veikala vadītājs/-a,1800
16,Piegādes nodaļas vadītājs/-a,2500
17,Pārdošanas menedžera asistents/-e,1400
18,Tehniskais/-ā direktors/-e,3100
19,Administratore/-s,1600
20,Klientu konsultants/-e,1350
21,Arhitekts/-e,3570
22,Customer Retention Specialist,2200
23,Data Protection Specialist,3750
24,Tirdzniecības projektu vadītājs/-a,2500
25,Biznesa attīstības vadītājs/-a Daugavpilī,1700
26,Pārdošanas speciālists/-e Flīžu salonā,1670
27,Digitālā mārketinga speciālists/-e,1800
28,Optisko sakaru līniju montieris/-e,3000
29,Projekta asistents/-e (ar vācu valodas zināšanām),2500
30,Tirdzniecības pārstāvis/-e,3000
31,Spēļu Vadītājs-/a (Game presenter),1433
32,EKSPORTA PĀRDOŠANAS MENEDŽERI,2000
33,Senior Software Development Engineer,6595
34,Eksporta menedžeris (darbam Zviedrijas tirgū),2750
35,Vadītāja bizness asistents/-e,1800
36,Business Intelligence Engineer,3150
37,Sociālais rehabilitētājs,1000
38,Sociālais aprūpētājs,1000
39,Vecākais eksperts veselības aprūpes jomā,1575
40,Vecākais eksperts veselības aprūpes jomā,1575
41,Sociālās aprūpes un sociālās rehabilitācijas nodaļas vadītājs,1701
42,Klientu menedžeris/-e,1400
43,Senior Customer Consultant,1600
44,Vecākais/-ā klientu konsultants/-e,1600
45,Sales Manager (B2B),2700
46,"Galvenais/-ā biznesa analītiķis/-e, finanšu speciālists/-e",2250
47,Pharmacist Assistant,1900
48,Farmaceita asistents/-e,1900
49,SAP ABAP Developer,2750
50,SAP ABAP izstrādātājs/-a,2750
51,Network Operation Center Engineer (Technical Support),1600
52,Ārējo tīklu elektromontieris/-e,2000
53,Satura veidotājs(-a),1600
54,Tehniskais/-ā projektu vadītājs/-a,3100
55,Tehnisko risinājumu speciālists/-e,1700
56,Projektu vadītāja/-s asistents/-e,1650
57,Projektu vadītājs/-a,3100
58,Embedded inženieris/-e (C++),2500
59,Administrators/-e,1450
60,IT atbilstības speciālists(-e),3250
61,Bilancspējīgs grāmatvedis/-e,2000
62,Klientu komunikācijas un lojalitātes speciālists/-e,2200
63,Full-Stack programmētājs(-a) norēķinu (Billing) komandā,3300
64,Klientu piesaistes speciālists(-e) (Ziemeļamerikas tirgus),3200
65,ERP konsultants/-e,2250
66,Front-end izstrādātājs/-a,3575
67,PHP izstrādātājs/-a,3935
68,Software Licencing and Billing Specialist,2350
