p,alga,lv,lv_s,lv_v,nonlv,mult,cits
(Senior) Transaction Monitoring Analyst/ (Vecākais/-ā) darījumu uzraudzības analītiķis/-e,2875,,,,,x,
.NET Team Lead / .NET komandas vadītājs/-a,6250,,,,,x,
.NET Team Lead / .NET komandas vadītājs/-a,6250,,,,,x,
.NET un REACT programmētājs/-a,2500,x,,,,,
2. līmeņa IT atbalsta speciālists/-e,2250,x,,,,,
ADMINISTRATĪVAIS VADĪTĀJS-/A,3000,x,,,,,
ADMINISTRATĪVAIS VADĪTĀJS-/A,3000,x,,,,,
AVK/ŪKT izbūves darbu projektu vadītājs/-a,3450,x,,,,,
Add-on (papildus produktu) nodaļas darbinieks/-ce,240,x,,,,,
Administratore/-s,1600,x,,,,,
Administrators/-e,1450,x,,,,,
Administrators/-e,1000,x,,,,,
Administrators/-e,1450,x,,,,,
Administrators/-e - Lietvedis/-e,1075,x,,,,,
Administrators/-e - Lietvedis/-e,1075,x,,,,,
Administratīvais asistents/-e ar pieredzi sociālo mediju un juridiskajā jomā,3666,x,,,,,
Administratīvais asistents/e uz noteiktu laiku – 6 mēnešiem,1400,x,,,,,
Administratīvais/-ā asistents/-e,1500,x,,,,,
Administratīvo pārkāpumu lietu izskatīšanas nodaļas vecākais/-ā inspektors/-e,1439,x,,,,,
Algu grāmatvedis/-e,2000,x,,,,,
Analītiķis/-e Finanšu analīzes un finanšu risku vadības pārvaldē,2400,x,,,,,
Apdares materiālu pārdošanas speciālists/-e,1890,x,,,,,
Apdares materiālu pārdošanas speciālists/-e,1890,x,,,,,
Apdrošināšanas brokera palīgs/-dze,1200,x,,,,,
Apdrošināšanas konsultants/-e Bauskā,1025,x,,,,,
Apdrošināšanas konsultants/-e Gulbenē,1025,x,,,,,
Apdrošināšanas konsultants/-e Jelgavā,1025,x,,,,,
"Apdrošināšanas konsultants/-e Teikas nodaļā, Rīgā",1050,x,,,,,
Apdrošināšanas konsultants/-e Tukumā,1025,x,,,,,
Apdrošināšanas konsultants/-e Valkā,1025,x,,,,,
"Apdrošināšanas konsultants/-e tirdzniecības centros ""Akropole Alfa"", ""Sāga"", ""Spice""",1050,x,,,,,
Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas biznesa atbalsta nodaļā,1600,x,,,,,
Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas klientu atbalsta nodaļā,1600,x,,,,,
Apdrošināšanas speciālists/-e / Brokera palīgs/-dze,1500,x,,,,,
Apkopes nodaļas vadītāja asistente/-s,1600,x,,,,,
Apkures iekārtu operators/-e,200,x,,,,,
"Apkures, ventilācijas un gaisa dzesēšanas sistēmu inženieris/-e",2400,x,,,,,
Apmaksātas studijas Farmaceita asistentiem/-ēm,200,x,,,,,
Apple produktu eksperts/-e,1900,x,,,,,
Apsaimniekošanas uzņēmuma vadītāja asistents/-e,1700,x,,,,,
Apsardzes inspektors/e,200,x,,,,,
Aptiekas vadītājs/-a,440,x,,,,,
Arhitekts/-e,3570,x,,,,,
Arhitekts/-e,2650,x,,,,,
Arhitekts/-e,3000,x,,,,,
Arhitekts/-e,3000,x,,,,,
Arhitekts/e - Projektētājs/a,2150,x,,,,,
Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītāja vietnieks/-ce,1900,x,,,,,
Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītājs/-a,2200,x,,,,,
Asistents/-e,1150,x,,,,,
Asistents/-e (Daily banking),1100,x,,,,,
Asistents/-e Projektu vadības daļā,1500,x,,,,,
Asistents/-e klientu apkalpošanas nodaļā,1000,x,,,,,
Asistents/-e kravu pārvadājumu organizēšanā,1850,x,,,,,
Asistents/-e transporta plānošanas nodaļā,1000,x,,,,,
Atbalsta operators/  e,1400,x,,,,,
Atbalsta speciālists/-e,1000,x,,,,,
Atbildīgās amatpersonas vietnieks/-ce,2250,x,,,,,
Atbildīgās amatpersonas vietnieks/-ce,2250,x,,,,,
Atbilstības un AML vadītājs/-a,3355,x,,,,,
Atbilstības un AML vadītājs/-a,3355,x,,,,,
Atgriezto preču un taras pieņēmējs/-a,1173,x,,,,,
Atlīdzību administrators/-e,1150,x,,,,,
Atlīdzību administrēšanas speciālists/-e,1250,x,,,,,
Attīstības tehnologs/-ģe,1400,x,,,,,
Attīstības tehnologs/-ģe,1400,x,,,,,
Aukstuma iekārtu tehniķis/-e,1800,x,,,,,
Auto virsbūves remonta tāmētājs (-a),1536,x,,,,,
Auto virsbūves remontatslēdznieks (-ce),1700,x,,,,,
Autoatslēdznieks/-ce,1495,x,,,,,
Autoelektriķis/-e,2300,x,,,,,
Automašīnu rezerves daļu pārdevējs (-a) BMW/ MINI/ BMW Motorrad autocentrā,1650,x,,,,,
Automašīnu rezerves daļu pārdevējs/ - a Ford / Mazda autocentrā,2000,x,,,,,
Automehāniķis (-e),1820,x,,,,,
Automehāniķis/-e,2450,x,,,,,
Automobiļu reģistrators/-e,2000,x,,,,,
Autoparka attīstības vadītājs/-a,3750,x,,,,,
Autoparka attīstības vadītājs/-a,3750,x,,,,,
Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000,x,,,,,
Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000,x,,,,,
Autosalona administrators (-e),1150,x,,,,,
Autoservisa konsultants/-e/ transportlīdzekļu pieņēmējs/-a,1700,x,,,,,
Avio pārvadājumu loģistikas speciālists/-e,1500,x,,,,,
Avio un jūras pārvadājumu speciālists/-e,2000,x,,,,,
Aviācijas drošības inspektors/-e,240,x,,,,,
B2B Pārdošanas speciālists/-e,2750,x,,,,,
