"Kods","Nosaukums","Apraksts","Vecāks"
"00","Nacionālo bruņoto spēku profesijas","PROFESIJU NULLES PAMATGRUPA""0 Nacionālo bruņoto spēku profesijas""Nulles pamatgrupas ""0 Nacionālo bruņoto spēku profesijas"" profesijās nodarbinātie pilda aktīvo dienestu, kas ietver profesionālo dienestu, militārā dienesta tiešu izpildi mobilizācijas gadījumā un rezerves karavīru militārās mācības, kā arī zemessargu dienestu Zemessardzē. Karavīriem un zemessargiem ir piešķirtas dienesta pakāpes.Nulles pamatgrupas ""0 Nacionālo bruņoto spēku profesijas"" profesijas klasificētas šādās grupās:apakšgrupa ""01 Virsnieki"";mazā grupa ""011 Virsnieki"";apakšgrupa ""02 Instruktori"";mazā grupa ""021 Instruktori"";apakšgrupa ""03 Kareivji un zemessargi"";mazā grupa ""031 Kareivji un zemessargi"".",""
"01","Virsnieki","Nulles pamatgrupas apakšgrupas ""01 Virsnieki"" profesijas klasificētas šādās grupās:mazā grupa ""011 Virsnieki"";atsevišķā grupa ""0110 Virsnieki"".","00"
"011","Virsnieki","PROFESIJU MAZĀ GRUPA""011 Virsnieki""un PROFESIJU ATSEVIŠĶĀ GRUPA""0110 Virsnieki""Mazās grupas ""011 Virsnieki"" un atsevišķās grupas ""0110 Virsnieki"" profesijās nodarbinātie nodrošina vienību (apakšvienību) vadību vai veic uzdevumus, kas saistīti ar aktīvo dienestu vai dienestu Zemessardzē. Virsniekiem ir piešķirta leitnanta vai augstāka dienesta pakāpe.Mazās grupas ""011 Virsnieki"" un atsevišķās grupas ""0110 Virsnieki"" profesijām atbilstošās kvalifikācijas pamatprasības:zina: Ziemeļatlantijas līguma organizācijas (North Atlantic Treaty Organization – NATO) (turpmāk – NATO) un Eiropas Savienības pamatnostādnes aizsardzības jautājumos, valdības politiku valsts aizsardzības jomā, gaisa, jūras un sauszemes spēku savstarpējo sadarbību nacionālajās, starptautiskajās un NATO operācijās, militāro dienestu un dienestu Zemessardzē reglamentējošo dokumentu prasības, pakļautās vienības (apakšvienības) kaujas un mobilizācijas gatavību, tās individuālos uzdevumus un uzdevumus kolektīvās aizsardzības sistēmā, personālsastāva vadības pamatprincipus, normatīvo dokumentu prasības valsts aizsardzības jomā, darba un vides aizsardzības normatīvo aktu prasības, profesionālās ētikas pamatprincipus un uzvedības normas;prot: plānot vienības (apakšvienības) ikdienas un kaujas uzdevumu izpildi, tās nodrošinājumu ar personālsastāvu un materiāltehniskajiem resursiem, nodrošināt pakļautās vienības (apakšvienības) kaujas un mobilizācijas gatavību, izstrādāt vienības (apakšvienības) un tās personālsastāva attīstības plānus;atbild: par pakļautās vienības (apakšvienības) kaujas un mobilizācijas gatavību, pakļautā personālsastāva militāro sagatavotību, audzināšanu, militāro disciplīnu un morālo stāvokli, pakļautās vienības (apakšvienības) materiāltehnisko līdzekļu stāvokli un saglabāšanu, materiāltehnisko līdzekļu un finanšu apgādi, drošības tehnikas prasību ievērošanu;izglītība: normatīvajā aktā attiecīgajai virsnieka dienesta pakāpei noteiktā atbilstošā militārā izglītība.Atsevišķās grupas ""0110 Virsnieki"" profesijas un atbilstoši pamatuzdevumi:– atkarībā no dienesta pakāpes un amata plānot, vadīt, analizēt un koordinēt vienību (apakšvienību) ikdienas un kaujas uzdevumu izpildi; nodrošināt Nacionālo bruņoto spēku militāro sagatavotību, kaujas un mobilizācijas gatavību; veikt valsts drošības situācijas kontroli, aizsardzības plānošanu un attīstības koncepciju izstrādi; nodrošināt Nacionālo bruņoto spēku militāro pārstāvniecību NATO un Eiropas Savienībā.","01"
"0110","Virsnieki","Šīs atsevišķās grupas apraksts un profesionālās darbības pamatuzdevumi atbilst 011 mazajai grupai.","011"
"0110 01","ĢENERĀLLEITNANTS/ VICEADMIRĀLIS (Jūras spēkos)","","0110"
"0110 02","ĢENERĀLMAJORS/ KONTRADMIRĀLIS (Jūras spēkos)","","0110"
"0110 03","Brigādes ĢENERĀLIS/ Flotiles ADMIRĀLIS (Jūras spēkos)","","0110"
"0110 04","PULKVEDIS/ Jūras KAPTEINIS (Jūras spēkos)","","0110"
"0110 05","PULKVEŽLEITNANTS/ KOMANDKAPTEINIS (Jūras spēkos)","","0110"
"0110 06","MAJORS/ KOMANDLEITNANTS (Jūras spēkos)","","0110"
