,Partija,Kandidāts,Kārtas nr. sarakstā,Plusi,Svītrojumi,Balsis,Vietas nr.,Ievēlēts,Dzimte
0,saskana-socialdemokratiska-partija,Nils Ušakovs,1,24265,1080,60281,1,Ievēlēts,vīriešu
1,saskana-socialdemokratiska-partija,Olga Petkeviča,2,8248,1113,44231,2,,sieviešu
2,saskana-socialdemokratiska-partija,Regīna Ločmele,3,7777,1383,43490,3,,sieviešu
3,saskana-socialdemokratiska-partija,Anna Vladova,10,2566,1290,38372,4,,sieviešu
4,saskana-socialdemokratiska-partija,Igors Pimenovs,12,2165,1270,37991,5,,vīriešu
5,saskana-socialdemokratiska-partija,Andrejs Bondarevs,4,1886,1255,37727,6,,vīriešu
6,saskana-socialdemokratiska-partija,Jekaterina Morozova,7,1705,1271,37530,7,,sieviešu
7,saskana-socialdemokratiska-partija,Igors Orlovs,6,1668,1300,37464,8,,vīriešu
8,saskana-socialdemokratiska-partija,Irina Dolgova,5,1585,1284,37397,9,,sieviešu
9,saskana-socialdemokratiska-partija,Viktorija Tarane,14,1159,1194,37061,10,,sieviešu
10,saskana-socialdemokratiska-partija,Inese Plesņa,18,1168,1258,37006,11,,sieviešu
11,saskana-socialdemokratiska-partija,Vladislavs Minginovičs,17,1127,1238,36985,12,,vīriešu
12,saskana-socialdemokratiska-partija,Elīna Leitāne,16,1125,1238,36983,13,,sieviešu
13,saskana-socialdemokratiska-partija,Viktors Jasiņavičs,9,1144,1261,36979,14,,vīriešu
14,saskana-socialdemokratiska-partija,Raitis Grebežs,8,1153,1281,36968,15,,vīriešu
15,saskana-socialdemokratiska-partija,Helēna Geriloviča,15,1099,1236,36959,16,,sieviešu
16,saskana-socialdemokratiska-partija,Vitalijs Trusevičs,13,1086,1234,36948,17,,vīriešu
17,saskana-socialdemokratiska-partija,Anna Vaisjūna,11,1054,1241,36909,18,,sieviešu
18,jkp-jauna-konservativa-partija,Liāna Langa,2,2161,631,9329,1,,sieviešu
19,jkp-jauna-konservativa-partija,Tālis Linkaits,1,2308,904,9203,2,,vīriešu
20,jkp-jauna-konservativa-partija,Gatis Eglītis,3,1648,701,8746,3,,vīriešu
21,jkp-jauna-konservativa-partija,Margarita Kolosova,18,794,788,7805,4,,sieviešu
22,jkp-jauna-konservativa-partija,Evita Zālīte-Grosa,4,665,796,7668,5,,sieviešu
23,jkp-jauna-konservativa-partija,Andris Vītols,5,538,737,7600,6,,vīriešu
24,jkp-jauna-konservativa-partija,Mārtiņš Štāls,13,433,671,7561,7,,vīriešu
25,jkp-jauna-konservativa-partija,Guntis Rasims,6,508,777,7530,8,,vīriešu
26,jkp-jauna-konservativa-partija,Jānis Butāns,8,382,711,7470,9,,vīriešu
27,jkp-jauna-konservativa-partija,Eva Mārtuža,7,421,768,7452,10,,sieviešu
28,jkp-jauna-konservativa-partija,Sandis Riekstiņš,17,402,809,7392,11,,vīriešu
29,jkp-jauna-konservativa-partija,Viesturs Cimermanis,14,292,711,7380,12,,vīriešu
30,jkp-jauna-konservativa-partija,Jānis Svemps,16,256,703,7352,13,,vīriešu
31,jkp-jauna-konservativa-partija,Kārlis Avotiņš,11,250,707,7342,14,,vīriešu
32,jkp-jauna-konservativa-partija,Aivars Geidāns,9,259,727,7331,15,,vīriešu
33,jkp-jauna-konservativa-partija,Jana Zilkalne,15,248,719,7328,16,,sieviešu
34,jkp-jauna-konservativa-partija,Romāns Ernsons,10,218,740,7277,17,,vīriešu
35,jkp-jauna-konservativa-partija,Juris Orinskis,12,187,735,7251,18,,vīriešu
36,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Roberts Zīle,1,68288,3930,179216,1,Ievēlēts,vīriešu
37,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Rihards Kols,3,39524,6091,148291,2,Ievēlēts,vīriešu
38,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Ināra Mūrniece,2,26136,15273,125721,3,,sieviešu
39,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Edvīns Šnore,4,15003,8358,121503,4,,vīriešu
40,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Ilze Indriksone,5,5388,10223,110023,5,,sieviešu
41,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Jānis Grasbergs,6,4327,9313,109872,6,,vīriešu
42,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Jurģis Klotiņš,9,2505,9114,108249,7,,vīriešu
43,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Ģirts Lapiņš,10,1802,8940,107720,8,,vīriešu
44,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Jāzeps Korsaks,18,2009,9298,107569,9,,vīriešu
45,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Roberts Ozols,11,1616,8946,107528,10,,vīriešu
46,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Oskars Cīrulis,15,1468,8916,107410,11,,vīriešu
47,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Roberts Sipenieks,16,1560,9029,107389,12,,vīriešu
48,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Andris Jankovskis,14,1396,8963,107291,13,,vīriešu
49,nacionala-apvieniba-visu-latvijai-tevzemei-un-brivibai-lnnk,Aija Mežale,13,1470,9126,107202,14,,sieviešu
